the_geom,cartodb_id,the_geom_webmercator,id,bbl,bin,address,zipcode,bldgtype,idflags,ess,year,gfa,gfaflags,numbldgs,numfloors,energy,eui,euiflags,wui,wuiflags,ghg,ghgflags,bep_score,bldg_class,group_threshold,ghgi_25_target,ghgi_30_target,value,primary_type_size_rate,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6,gfa_cat,age_cat,value_cat,eui_base,eui_diff,wui_base,wui_diff,ghg_base,ghg_diff,fuel_mix,bee_rating
,6088,,2955754,1009960012,1022612,141 West 43rd Street,10036,Parking,0,,1999,77000,0,1,7,4519383.5,58.7,0,1.81,0,1.55,0,,G1,11,4.25762300664,1.09828571429,8016300,1,Parking,,0,1612636.3,,3811.2,,,,,,,,3,4,4,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3811.2', 'Electricity': '1612636.3', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6092,,6292343,2032810018,2016456,340 East Mosholu Parkway South,10458,Multifamily Housing,0,61,1937,48628,0,1,6,6224925.1,128,0,57.13,0,5.25,0,,D4,10,6.75288296823,4.07165564052,855000,1,Multifamily Housing,,0,632891.2,87,3926856.9,,,,,,,,1,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3926856.9', 'Electricity': '632891.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6093,,6292342,2028050016,2007619,1855 Grand Concourse,10453,Multifamily Housing,0,69,1936,45000,0,1,6,5091098.1,113.1,0,36.67,0,4.66,0,,D4,10,6.75288296823,4.07165564052,1116900,1,Multifamily Housing,,0,508310.4,67,3239538.2,,,,,,,,1,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3239538.2', 'Electricity': '508310.4', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6095,,6292340,4015090052,4037316,42-52 Layton Street,11373,Multifamily Housing,0,43,1938,43122,0,1,6,5497538.9,127.5,0,84.97,0,5.2,0,,D4,10,6.75288296823,4.07165564052,1749600,1,Multifamily Housing,,0,590126.9,47,3404600.1,,,,,,,,1,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3404600.1', 'Electricity': '590126.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6096,,6292339,3052460006,3121545,2835 Bedford Avenue,11210,Multifamily Housing,0,60,1939,47322,0,1,6,5343194.7,112.9,0,36.41,0,4.71,0,,D4,10,6.75288296823,4.07165564052,825750,1,Multifamily Housing,,0,535132.7,60,3454800.1,,,,,,,,1,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3454800.1', 'Electricity': '535132.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6097,,6292338,3052140024,3120444,2701 Newkirk Avenue,11226,Multifamily Housing,0,73,1959,41400,0,1,6,5080553,122.7,0,48.64,0,4.85,0,,D4,10,6.75288296823,4.07165564052,1340550,0.884615384615,Multifamily Housing,"{'Multifamily Housing': 41400.0, 'Parking': 5400.0}",0,548284.3,63,3017700.1,,,,,,,,1,3,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3017700.1', 'Electricity': '548284.3', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6099,,6292336,4001340045,4001171,41-42 50th Street,11377,Multifamily Housing,0,75,1937,45570,0,1,6,,,1,31.17,0,5.6,0,,D4,10,6.75288296823,4.07165564052,1450350,1,Multifamily Housing,,0,465442.2,53,136495.8,,,,,438292,,,1,2,1,,,,,,,"{'Fuel Oil 4': 438292.0, 'Fuel Oil 2': nan, 'Natural Gas': '136495.8', 'Electricity': '465442.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6100,,4411832,3053910061,3126865,599 East 7th Street,11218,Multifamily Housing,0,78,1961,104100,0,1,6,11785570.8,113.2,0,45.08,0,4.43,0,,D4,10,6.75288296823,4.07165564052,2831850,0.865336658354,Multifamily Housing,"{'Multifamily Housing': 104100.0, 'Parking': 16200.0}",0,1567179.4,150,6507000.3,,,,,,,,3,3,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '6507000.3', 'Electricity': '1567179.4', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6101,,4411830,3050640029,3116200,40 Clarkson Avenue,11226,Multifamily Housing,0,61,1938,97332,0,1,6,10680977.6,109.7,0,30.97,0,4.53,0,,D4,10,6.75288296823,4.07165564052,1669500,1,Multifamily Housing,,0,966398.4,107,6960000.3,,,,,,,,3,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '6960000.3', 'Electricity': '966398.4', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6102,,4411829,4012750020,4029566,35-36 76th Street,11372,Multifamily Housing,0,76,1940,108000,0,1,6,11414899.1,105.7,0,32.43,0,4.24,0,,D4,10,6.75288296823,4.07165564052,2932650,1,Multifamily Housing,,0,1254248.6,143,6877299.7,,,,,,,,3,2,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '6877299.7', 'Electricity': '1254248.6', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6104,,4411827,3051560058,3118669,385 Argyle Road,11218,Multifamily Housing,0,78,1941,59640,0,1,6,6359425.7,106.6,0,45.49,0,4.32,0,,D4,10,6.75288296823,4.07165564052,1643400,1,Multifamily Housing,,0,663547.2,83,3929000.4,,,,,,,,2,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3929000.4', 'Electricity': '663547.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6105,,4411826,3051610056,3118793,385 East 18th St.,11226,Multifamily Housing,0,77,1940,76446,0,1,6,7748987.1,101.4,0,36.01,0,4.06,0,,D4,10,6.75288296823,4.07165564052,2086200,1,Multifamily Housing,,0,916892.6,101,4573200,,,,,,,,3,2,2,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '4573200', 'Electricity': '916892.6', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6106,,4411825,3059880045,3151285,8020 4th Avenue,11209,Multifamily Housing,0,74,1934,49854,0,1,6,5182516.7,104,0,30.51,0,4.14,0,,D4,10,6.75288296823,4.07165564052,1917450,1,Multifamily Housing,,0,548281,53,3128399.9,,,,,,,,1,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '3128399.9', 'Electricity': '548281', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6107,,4411824,2033160050,2017481,2685 Creston Avenue,10468,Multifamily Housing,0,72,1940,77850,0,1,6,7745492.8,99.5,0,65.63,0,4.07,0,,D4,10,6.75288296823,4.07165564052,1505700,1,Multifamily Housing,,0,855266.9,80,4776128.6,,,,,,,,3,2,1,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '4776128.6', 'Electricity': '855266.9', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6109,,7567161,2028070022,2007654,1985 Creston Ave,10453,Multifamily Housing,0,86,1995,37960,0,1,5,3745234.4,98.7,0,64.74,0,4.06,0,,C1,10,6.75288296823,4.07165564052,571500,1,Multifamily Housing,,0,520014.2,72,2180185.4,,,,,,,,1,4,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '2180185.4', 'Electricity': '520014.2', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6111,,10912798,2057890024,2084124,3240 Henry Hudson Parkway,10463,Multifamily Housing,0,50,1938,163197,0,1,6,19278485.1,118.1,0,30.6,0,5.3,0,,D1,10,6.75288296823,4.07165564052,4062600,1,Multifamily Housing,,0,1786768.8,223,13804014.5,,,,,,,,4,2,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '13804014.5', 'Electricity': '1786768.8', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6114,,11662545,4026110096,4058999,4706 Grand Ave,11378,Refrigerated Warehouse,0,64,2001,26020,0,1,1,3553180.5,136.6,0,24.55,0,4.54,0,,,,,,1305450,1,Refrigerated Warehouse,"{'Refrigerated Warehouse': 26020.0, 'Parking': 0.0}",0,814637.7,,1094300,,,,,,,,1,2,0,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '1094300', 'Electricity': '814637.7', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
,6115,,5877360,3016290001,"3398080;3325009;3325010;3325012;3825094;3398081;3325011","701 Gates Ave, 715 Gates Ave, 735 Gates Ave",11221,Multifamily Housing,0,24,1973,188486,0,6,3,30771500.4,163.3,0,40.49,0,6.43,0,,D1,10,6.75288296823,4.07165564052,5955300,1,Multifamily Housing,,0,4101982,355,17119303,,,,,,,,4,3,3,,,,,,,"{'Fuel Oil 4': nan, 'Fuel Oil 2': nan, 'Natural Gas': '17119303', 'Electricity': '4101982', 'Diesel': nan, 'Fuel Oil 5 & 6': nan, 'District Steam': nan}",
